,group,sender,text,date
1,freifahren_BE,262673948,"This group only makes sense if you are in Berlin, Germany, using public transport. We report ticket controls here. Off-topic use of the group is not allowed.",2023-09-05 15:22:13+00:00
1,freifahren_BE,908633765,Okay so it is a group help dodge ticket inspectors?,2023-09-05 15:40:32+00:00
1,freifahren_BE,262673948,Yes. For Berlin only. For other cities see pinned message with more groups,2023-09-05 15:41:11+00:00
1,freifahren_BE,908633765,But they appear randomly everyday right? Do they have regular working hours?,2023-09-05 15:41:59+00:00
1,freifahren_BE,926822209,U6 Leopoldplatz 3 blauwesten stehen Richtung alt Mariendorf auf Gleis hinten,2023-09-05 15:43:23+00:00
1,freifahren_BE,397444821,M2 Richtung Alex mollstr/Prenzlauer Allee,2023-09-05 15:46:59+00:00
1,freifahren_BE,397444821,"1 männlich gelesen. Schwarze cap, schwarzes Shirt",2023-09-05 15:47:17+00:00
1,freifahren_BE,214672616,Blaue Westen am Gleis U6 Wedding,2023-09-05 15:56:18+00:00
1,freifahren_BE,478943777,Osloer Straße 2 blaue Westen,2023-09-05 16:22:52+00:00
1,freifahren_BE,1911559286,Mockenbrucke U3,2023-09-05 16:36:47+00:00
1,freifahren_BE,244263158,U6 Oranienburger Tor. Stehen am gleis,2023-09-05 16:37:03+00:00
1,freifahren_BE,244263158,3 männlich gelesen,2023-09-05 16:38:00+00:00
1,freifahren_BE,244263158,Blaue Westen,2023-09-05 16:39:19+00:00
1,freifahren_BE,6396158871,Zoology  4 kont 2 poliz,2023-09-05 17:07:26+00:00
1,freifahren_BE,6410250214,Wo genau ?,2023-09-05 17:15:11+00:00
1,freifahren_BE,442138885,U9 Hansaplatz,2023-09-05 17:16:28+00:00
1,freifahren_BE,1008275446,4k male u jannowitzbrücke,2023-09-05 17:21:15+00:00
1,freifahren_BE,5372214948,Bus 187 2 Kontrolleure Innsbrucker Platz - S Friedenau,2023-09-05 17:32:03+00:00
1,freifahren_BE,1173531914,Keine Ahnung was du meinst,2023-09-05 17:32:48+00:00
1,freifahren_BE,843940005,Gneisenaustr. U7 Richtung Herrmannstr.,2023-09-05 17:33:14+00:00
1,freifahren_BE,133482170,"Du weißt nicht, was ich meine? Du hast hier auf Drogen irgendwelchen Müll gepostet.",2023-09-05 17:33:57+00:00
1,freifahren_BE,1173531914,Da kann ich mich nicht dran erinnern das könnte aber sich ein Kumpel gewesen sein,2023-09-05 17:34:58+00:00
1,freifahren_BE,133482170,Tja,2023-09-05 17:35:31+00:00
1,freifahren_BE,5100808256,Zoo u9 10x Bos,2023-09-05 17:39:38+00:00
1,freifahren_BE,974427989,"S7 richtung ahrensfelde, gerade an der friedrichstr",2023-09-05 17:51:05+00:00
1,freifahren_BE,974427989,"2 männl. geslesen, in zivil",2023-09-05 17:51:47+00:00
1,freifahren_BE,1005748734,"Wann kommt ungefähr der Brief, weiß das jemand?",2023-09-05 20:25:53+00:00
1,freifahren_BE,5100808256,nach ein paar wochen idR,2023-09-05 20:26:20+00:00
1,freifahren_BE,1629680845,Es kommen keine mehr. Der Nächte ist meistens eine Anzeige.,2023-09-05 23:43:43+00:00
1,freifahren_BE,104266818,"41 Neukölln gerade auf dem Gleis. Männlich gelesen blaue trainingsjacke. Kontrolliert mit Handy, dazu schwarze Umhängetasche",2023-09-06 03:24:13+00:00
1,freifahren_BE,1294910625,2 men in blue jackets S 45 towards Airport.,2023-09-06 04:11:21+00:00
1,freifahren_BE,1294910625,Altginige,2023-09-06 04:13:03+00:00
1,freifahren_BE,1294910625,"2 more 
 Other ones",2023-09-06 04:21:01+00:00
1,freifahren_BE,779363091,3 green Vest at Treptow Park,2023-09-06 05:03:38+00:00
