,station name,lines,area,LAT,LON,Location,color,keys
243,Schlesisches Tor,U1,Kreuzberg,52.5008333333333,13.4416666666667,U1,#FFFF00,schlesisches tor
244,Schloßstraße,"U9, U9",Steglitz,52.4608333333333,13.3244444444444,U Bahn Hub,#006400,schlossstr
245,Schulzendorf,S25,Heiligensee,52.6127777777778,13.2458333333333,S25,#00FF00,schulzendorf
246,Schwartzkopffstraße,U6,Mitte,52.5352777777778,13.3772222222222,U6,#DA33FF,schwartzkopffstr
247,Schöneberg,"S1, S41, S42, S46",Schöneberg,52.4794444444445,13.3516666666667,S Bahn Hub,#008080,schoeneberg
248,Schöneweide,"S45, S46, S47, S8, S85, S9",Niederschöneweide,52.455,13.5094444444444,S Bahn Hub,#008080,schoeneweide
249,Schönfließ,S8,MühlenbeckerLand,52.6647222222222,13.3402777777778,S8,#6B4423,schoenfliess
250,Schönhauser Allee,"U2, S41, S42, S8, S85",Prenzlauer Berg,52.5491666666667,13.4161111111111,U and S Bahn Hub,#FFC300,schoenhauser allee
251,Schönholz,"S1, S25, S26",Reinickendorf,52.5713888888889,13.3813888888889,S Bahn Hub,#008080,schoenholz
252,Schönleinstraße,U8,Kreuzberg,52.4930555555556,13.4219444444444,U8,#00008B,schoenleinstr
253,Seestraße,U6,Wedding,52.55,13.3527777777778,U6,#DA33FF,seestr
254,Senefelderplatz,U2,Prenzlauer Berg,52.5325,13.4125,U2,#8B4513,senefelderplatz
255,Siemensdamm,U7,Siemensstadt,52.5366666666667,13.2755555555556,U7,#33B5FF,siemensdamm
256,Sonnenallee,"S41, S42",Neukölln,52.4727777777778,13.4552777777778,S Bahn Hub,#008080,sonnenallee
257,Sophie-Charlotte-Platz,U2,Charlottenburg,52.5108333333333,13.2966666666667,U2,#8B4513,sophie charlotte platz
258,Spandau,"S3, S9",Spandau,52.5347222222222,13.1958333333333,S Bahn Hub,#008080,spandau
259,Spichernstraße,"U3, U9",Wilmersdorf,52.4966666666667,13.3311111111111,U Bahn Hub,#006400,spichernstr
260,Spindlersfeld,S47,Köpenick,52.4472222222222,13.5613888888889,S47,#CD853F,spindlersfeld
261,Spittelmarkt,U2,Mitte,52.5111111111111,13.4036111111111,U2,#8B4513,spittelmarkt
262,Springpfuhl,"S7, S75",Marzahn,52.5272222222222,13.5363888888889,S Bahn Hub,#008080,springpfuhl
263,Stadtmitte,"U2, U6",Mitte,52.5122222222222,13.3894444444444,U Bahn Hub,#006400,stadtmitte
264,Storkower Straße,"S41, S42, S8, S85",PrenzlauerBerg,52.5238888888889,13.4644444444444,S Bahn Hub,#008080,storkower str
265,Strausberg,S5,Strausberg,52.5319444444444,13.8369444444444,S5,#FFD700,strausberg
266,Strausberg Nord,S5,Strausberg,52.5902777777778,13.9083333333333,S5,#FFD700,strausberg nord
267,Strausberg Stadt,S5,Strausberg,52.5766666666667,13.8877777777778,S5,#FFD700,strausberg stadt
268,Strausberger Platz,U5,Friedrichshain,52.5180555555556,13.4308333333333,U5,#FFD700,strausberger platz
269,Stresow,"S3, S9",Spandau,52.5319444444444,13.2088888888889,S Bahn Hub,#008080,stresow
270,Sundgauer Straße,S1,Zehlendorf,52.4363888888889,13.2738888888889,S1,#FF33AD,sundgauer str
271,Südende,"S25, S26",Steglitz,52.448117,13.353646,S Bahn Hub,#008080,suedende
272,Südkreuz,"S2, S25, S26, S41, S42, S45, S46",Schöneberg,52.4755555555556,13.3644444444444,S Bahn Hub,#008080,suedkreuz
273,Südstern,U7,Kreuzberg,52.4894444444444,13.4077777777778,U7,#33B5FF,suedstern
274,Tegel,S25,Tegel,52.5886111111111,13.2894444444444,S25,#00FF00,tegel
275,Teltow Stadt,S25,Telt,52.396878,13.276392,S25,#00FF00,teltow stadt
276,Tempelhof,"U6, S41, S42, S45, S46",Tempelhof,52.4708333333333,13.3852777777778,U and S Bahn Hub,#FFC300,tempelhof
277,Theodor-Heuss-Platz,U2,Westend,52.5097222222222,13.2730555555556,U2,#8B4513,theodor heuss platz
278,Tiergarten,"S3, S5, S7, S9",Hansaviertel,52.51444,13.33649,S Bahn Hub,#008080,tiergarten
279,Tierpark,U5,Friedrichsfelde,52.4963888888889,13.5233333333333,U5,#FFD700,tierpark
280,Treptower Park,"S41, S42, S8, S85, S9",Alt-Treptow,52.4938888888889,13.4613888888889,S Bahn Hub,#008080,treptower park
281,Turmstraße,U9,Moabit,52.5258333333333,13.3433333333333,U9,#FF5733,turmstr
282,Uhlandstraße,U1,Charlottenburg,52.5025,13.3255555555556,U1,#FFFF00,uhlandstr
283,Ullsteinstraße,U6,Tempelhof,52.4538888888889,13.3844444444444,U6,#DA33FF,ullsteinstr
284,Unter den Linden,"U5, U6",Mitte,52.5169444444444,13.3888888888889,U Bahn Hub,#006400,unter den linden
285,Viktoria-Luise-Platz,U4,Schöneberg,52.4961111111111,13.3427777777778,U4,#FFD700,viktoria luise platz
286,Vinetastraße,U2,Pankow,52.5591666666667,13.4133333333333,U2,#8B4513,vinetastr
287,Voltastraße,U8,Gesundbrunnen,52.5422222222222,13.3930555555556,U8,#00008B,voltastr
288,Waidmannslust,"S1, S26",Waidmannslust,52.6063888888889,13.3211111111111,S Bahn Hub,#008080,waidmannslust
289,Walther-Schreiber-Platz,U9,Friedenau,52.465,13.3316666666667,U9,#FF5733,walther schreiber platz
290,Wannsee,"S1, S7",Wannsee,52.4213888888889,13.1791666666667,S Bahn Hub,#008080,wannsee
291,Warschauer Straße,"U1, S3, S5, S7, S75, S9",Friedrichshain,52.5056944444445,13.4497222222222,U and S Bahn Hub,#FFC300,warschauer str
292,Wartenberg,S75,Neu-Hohenschönhausen,52.5730555555556,13.5038888888889,S75,#FF00FF,wartenberg
293,Waßmannsdorf,"S45, S9",WamannsdorfSchönefeld,52.3680555555556,13.4633333333333,S Bahn Hub,#008080,wassmannsdorf
294,Weberwiese,U5,Friedrichshain,52.5166666666667,13.445,U5,#FFD700,weberwiese
295,Wedding,"U6, S41, S42",Wedding,52.5425,13.3661111111111,U and S Bahn Hub,#FFC300,wedding
296,Weinmeisterstraße,U8,Mitte,52.5255555555556,13.405,U8,#00008B,weinmeisterstr
297,Westend,"S41, S42, S46",Charlottenburg,52.5180555555556,13.2844444444444,S Bahn Hub,#008080,westend
298,Westhafen,"U9, S41, S42",Moabit,52.5363888888889,13.3438888888889,U and S Bahn Hub,#FFC300,westhafen
299,Westkreuz,"S3, S41, S42, S46, S5, S7, S9",Charlottenburg,52.5011111111111,13.2838888888889,S Bahn Hub,#008080,westkreuz
300,Westphalweg,U6,Mariendorf,52.4463888888889,13.3855555555556,U6,#DA33FF,westphalweg
301,Wildau,S46,Wildau,52.32,13.6338888888889,S46,#FFA500,wildau
302,Wilhelmshagen,S3,Rahnsdorf,52.4386111111111,13.7222222222222,S3,#0000ff,wilhelmshagen
303,Wilhelmsruh,"S1, S26",Reinickendorf,52.5813888888889,13.3630555555556,S Bahn Hub,#008080,wilhelmsruh
304,Wilmersdorfer Straße,U7,Charlottenburg,52.5066666666667,13.3066666666667,U7,#33B5FF,wilmersdorfer str
305,Wittenau,"U8, S1, S26",Wittenau,52.5958333333333,13.3366666666667,U and S Bahn Hub,#FFC300,wittenau
306,Wittenbergplatz,U1,Schöneberg,52.5019444444445,13.3430555555556,U1,#FFFF00,wittenbergplatz
307,Wollankstraße,"S1, S25, S26",Pankow,52.5652777777778,13.3922222222222,S Bahn Hub,#008080,wollankstr
308,Wuhletal,"U5, S5",Kaulsdorf,52.5125,13.575,U and S Bahn Hub,#FFC300,wuhletal
309,Wuhlheide,S3,Köpenick,52.4688888888889,13.5533333333333,S3,#0000ff,wuhlheide
310,Wutzkyallee,U7,Gropiusstadt,52.4233333333333,13.4747222222222,U7,#33B5FF,wutzkyallee
311,Yorckstraße,"U7, S2, S25, S26, S1",Schöneberg,52.4925,13.3702777777778,U and S Bahn Hub,#FFC300,yorckstr
312,Zehlendorf,S1,Zehlendorf,52.4308333333333,13.2583333333333,S1,#FF33AD,zehlendorf
313,Zepernick,S2,Panketal,52.6597222222222,13.5338888888889,S2,#00CC00,zepernick
314,Zeuthen,S46,Zeuthen,52.3486111111111,13.6275,S46,#FFA500,zeuthen
315,Zitadelle,U7,Haselhorst,52.5377777777778,13.2177777777778,U7,#33B5FF,zitadelle
316,Zoologischer Garten,"U2, U9, S3, S5, S7, S9",Charlottenburg,52.5072222222222,13.3325,U and S Bahn Hub,#FFC300,zoo
317,Zwickauer Damm,U7,Gropiusstadt,52.4233333333333,13.4838888888889,U7,#33B5FF,zwickauer damm
