,station,line,latitude,longitude
158,spandau,S3,52.53472222222222,13.195833333333333
159,spandau,S9,52.53472222222222,13.195833333333333
160,stresow,S3,52.53194444444444,13.208888888888888
161,stresow,S9,52.53194444444444,13.208888888888888
162,beusselstr,S41,52.53444444444444,13.329444444444444
163,beusselstr,S42,52.53444444444444,13.329444444444444
164,sonnenallee,S41,52.47277777777778,13.455277777777775
165,sonnenallee,S42,52.47277777777778,13.455277777777775
166,halensee,S41,52.49611111111111,13.290555555555557
167,halensee,S42,52.49611111111111,13.290555555555557
168,halensee,S46,52.49611111111111,13.290555555555557
169,hohenzollerndamm,S41,52.48861111111111,13.300277777777778
170,hohenzollerndamm,S42,52.48861111111111,13.300277777777778
171,hohenzollerndamm,S46,52.48861111111111,13.300277777777778
172,messe nord/icc,S41,52.507777777777775,13.281666666666668
173,messe nord/icc,S42,52.507777777777775,13.281666666666668
174,messe nord/icc,S46,52.507777777777775,13.281666666666668
175,westend,S41,52.51805555555556,13.284444444444444
176,westend,S42,52.51805555555556,13.284444444444444
177,westend,S46,52.51805555555556,13.284444444444444
178,greifswalder str,S41,52.54,13.440555555555555
179,greifswalder str,S42,52.54,13.440555555555555
180,greifswalder str,S8,52.54,13.440555555555555
181,greifswalder str,S85,52.54,13.440555555555555
182,landsberger allee,S41,52.52944444444445,13.45472222222222
183,landsberger allee,S42,52.52944444444445,13.45472222222222
184,landsberger allee,S8,52.52944444444445,13.45472222222222
185,landsberger allee,S85,52.52944444444445,13.45472222222222
186,prenzlauer allee,S41,52.54472222222222,13.42611111111111
187,prenzlauer allee,S42,52.54472222222222,13.42611111111111
188,prenzlauer allee,S8,52.54472222222222,13.42611111111111
189,prenzlauer allee,S85,52.54472222222222,13.42611111111111
190,storkower str,S41,52.52388888888889,13.464444444444444
191,storkower str,S42,52.52388888888889,13.464444444444444
192,storkower str,S8,52.52388888888889,13.464444444444444
193,storkower str,S85,52.52388888888889,13.464444444444444
194,treptower park,S41,52.49388888888889,13.461388888888887
195,treptower park,S42,52.49388888888889,13.461388888888887
196,treptower park,S8,52.49388888888889,13.461388888888887
197,treptower park,S85,52.49388888888889,13.461388888888887
198,treptower park,S9,52.49388888888889,13.461388888888887
199,köllnische heide,S45,52.46944444444445,13.4675
200,köllnische heide,S46,52.46944444444445,13.4675
201,köllnische heide,S47,52.46944444444445,13.4675
202,baumschulenweg,S45,52.4675,13.489722222222222
203,baumschulenweg,S46,52.4675,13.489722222222222
204,baumschulenweg,S47,52.4675,13.489722222222222
205,baumschulenweg,S8,52.4675,13.489722222222222
206,baumschulenweg,S85,52.4675,13.489722222222222
207,baumschulenweg,S9,52.4675,13.489722222222222
208,schöneweide,S45,52.455000000000005,13.509444444444444
209,schöneweide,S46,52.455000000000005,13.509444444444444
210,schöneweide,S47,52.455000000000005,13.509444444444444
211,schöneweide,S8,52.455000000000005,13.509444444444444
212,schöneweide,S85,52.455000000000005,13.509444444444444
213,schöneweide,S9,52.455000000000005,13.509444444444444
214,adlershof,S45,52.43472222222222,13.54138888888889
215,adlershof,S46,52.43472222222222,13.54138888888889
216,adlershof,S8,52.43472222222222,13.54138888888889
217,adlershof,S85,52.43472222222222,13.54138888888889
218,adlershof,S9,52.43472222222222,13.54138888888889
219,johannisthal,S45,52.446666666666665,13.523888888888887
220,johannisthal,S46,52.446666666666665,13.523888888888887
221,johannisthal,S8,52.446666666666665,13.523888888888887
222,johannisthal,S85,52.446666666666665,13.523888888888887
223,johannisthal,S9,52.446666666666665,13.523888888888887
224,altglienicke,S45,52.407222222222224,13.55888888888889
225,altglienicke,S9,52.407222222222224,13.55888888888889
226,flughafen ber – terminal 1 2,S45,52.36666666666667,13.503333333333334
227,flughafen ber – terminal 1 2,S9,52.36666666666667,13.503333333333334
228,flughafen ber – terminal 5,S45,52.39138888888889,13.512777777777778
229,flughafen ber – terminal 5,S9,52.39138888888889,13.512777777777778
230,grünbergallee,S45,52.399166666666666,13.541666666666666
231,grünbergallee,S9,52.399166666666666,13.541666666666666
232,wassmannsdorf,S45,52.36805555555556,13.463333333333331
233,wassmannsdorf,S9,52.36805555555556,13.463333333333331
234,königs wusterhausen,S46,52.29666666666667,13.631111111111112
235,wildau,S46,52.32,13.633888888888889
236,zeuthen,S46,52.34861111111111,13.6275
237,eichwalde,S46,52.37138888888889,13.615277777777775
238,eichwalde,S8,52.37138888888889,13.615277777777775
239,grünau,S46,52.4125,13.573888888888888
240,grünau,S8,52.4125,13.573888888888888
241,grünau,S85,52.4125,13.573888888888888
242,oberspree,S47,52.4525,13.538333333333334
243,spindlersfeld,S47,52.447222222222216,13.561388888888889
244,biesdorf,S5,52.51305555555555,13.555277777777778
245,birkenstein,S5,52.51583333333333,13.6475
246,fredersdorf,S5,52.52638888888889,13.7625
247,hegermühle,S5,52.54888888888889,13.866666666666667
248,hoppegarten,S5,52.51833333333333,13.673333333333332
249,kaulsdorf,S5,52.51222222222222,13.59027777777778
250,mahlsdorf,S5,52.511944444444445,13.61
251,neuenhagen,S5,52.520833333333336,13.700277777777776
252,petershagen nord,S5,52.52916666666667,13.79111111111111
253,strausberg,S5,52.53194444444444,13.836944444444445
254,strausberg nord,S5,52.59027777777778,13.908333333333331
255,strausberg stadt,S5,52.57666666666667,13.887777777777778
256,friedrichsfelde ost,S5,52.51416666666667,13.519722222222224
257,friedrichsfelde ost,S7,52.51416666666667,13.519722222222224
258,friedrichsfelde ost,S75,52.51416666666667,13.519722222222224
259,nöldnerplatz,S5,52.50388888888889,13.485277777777776
260,nöldnerplatz,S7,52.50388888888889,13.485277777777776
261,nöldnerplatz,S75,52.50388888888889,13.485277777777776
262,ahrensfelde,S7,52.57166666666667,13.565
263,babelsberg,S7,52.39138888888889,13.092222222222222
264,griebnitzsee,S7,52.394444444444446,13.127222222222224
265,grunewald,S7,52.48916666666667,13.261388888888888
266,marzahn,S7,52.54361111111111,13.54111111111111
267,mehrower allee,S7,52.5575,13.553611111111111
268,poelchaustr,S7,52.535555555555554,13.535555555555556
269,potsdam hauptbahnhof,S7,52.391666666666666,13.066666666666666
270,raoul wallenberg str,S7,52.55083333333333,13.5475
271,springpfuhl,S7,52.52722222222222,13.536388888888888
272,springpfuhl,S75,52.52722222222222,13.536388888888888
273,gehrenseestr,S75,52.556666666666665,13.524444444444445
274,hohenschönhausen,S75,52.56638888888889,13.512222222222222
275,wartenberg,S75,52.57305555555556,13.50388888888889
276,bergfelde,S8,52.67027777777778,13.320277777777775
277,mühlenbeck mönchmühle,S8,52.65472222222222,13.386666666666668
278,schönfliess,S8,52.664722222222224,13.34027777777778
279,plänterwald,S8,52.47861111111112,13.473333333333333
280,plänterwald,S85,52.47861111111112,13.473333333333333
281,plänterwald,S9,52.47861111111112,13.473333333333333
282,görlitzer bahnhof,U1,52.49916666666667,13.428055555555554
283,kurfürstenstr,U1,52.5,13.361944444444443
284,osthafen,U1,52.50222222222222,13.446388888888889
285,prinzenstr,U1,52.498333333333335,13.405833333333334
286,schlesisches tor,U1,52.50083333333333,13.441666666666666
287,uhlandstr,U1,52.5025,13.325555555555557
288,wittenbergplatz,U1,52.50194444444445,13.343055555555557
289,warschauer str,U1,52.50569444444445,13.44972222222222
290,warschauer str,S3,52.50569444444445,13.44972222222222
291,warschauer str,S5,52.50569444444445,13.44972222222222
292,warschauer str,S7,52.50569444444445,13.44972222222222
293,warschauer str,S75,52.50569444444445,13.44972222222222
294,warschauer str,S9,52.50569444444445,13.44972222222222
295,nollendorfplatz,U1,52.49944444444444,13.35361111111111
297,nollendorfplatz,U2,52.49944444444444,13.35361111111111
298,gleisdreieck,U1,52.498333333333335,13.37527777777778
299,gleisdreieck,U2,52.498333333333335,13.37527777777778
300,hallesches tor,U1,52.49777777777778,13.39111111111111
301,hallesches tor,U6,52.49777777777778,13.39111111111111
302,möckernbrücke,U1,52.49916666666667,13.383055555555556
303,möckernbrücke,U7,52.49916666666667,13.383055555555556
304,kottbusser tor,U1,52.49916666666667,13.418055555555554
305,kottbusser tor,U8,52.49916666666667,13.418055555555554
306,kurfürstendamm,U1,52.50416666666667,13.333055555555555
307,kurfürstendamm,U9,52.50416666666667,13.333055555555555
308,bülowstr,U2,52.4975,13.363333333333332
309,deutsche oper,U2,52.511944444444445,13.310555555555556
310,eberswalder str,U2,52.54166666666666,13.412222222222224
