,station,line,latitude,longitude
200,hermsdorf,S1,52.617777777777775,13.306944444444444
201,hirschgarten,S3,52.45777777777778,13.603333333333332
202,hohen neuendorf,S1,52.66833333333333,13.286944444444444
203,hohen neuendorf,S8,52.66833333333333,13.286944444444444
204,hohenschönhausen,S75,52.56638888888889,13.512222222222222
205,hohenzollerndamm,S41,52.48861111111111,13.300277777777778
206,hohenzollerndamm,S42,52.48861111111111,13.300277777777778
207,hohenzollerndamm,S46,52.48861111111111,13.300277777777778
208,hohenzollernplatz,U3,52.494166666666665,13.324722222222222
209,holzhauser str,U6,52.575833333333335,13.296111111111111
210,hoppegarten,S5,52.51833333333333,13.673333333333332
211,humboldthain,S1,52.545,13.379444444444443
212,humboldthain,S2,52.545,13.379444444444443
213,humboldthain,S25,52.545,13.379444444444443
214,humboldthain,S26,52.545,13.379444444444443
215,hönow,U5,52.53833333333333,13.633888888888889
216,innsbrucker platz,U4,52.47861111111112,13.34388888888889
217,innsbrucker platz,S41,52.47861111111112,13.34388888888889
218,innsbrucker platz,S42,52.47861111111112,13.34388888888889
219,innsbrucker platz,S46,52.47861111111112,13.34388888888889
220,jakob kaiser platz,U7,52.53666666666666,13.293333333333331
221,jannowitzbrücke,U8,52.515,13.418055555555554
222,jannowitzbrücke,S3,52.515,13.418055555555554
223,jannowitzbrücke,S5,52.515,13.418055555555554
224,jannowitzbrücke,S7,52.515,13.418055555555554
225,jannowitzbrücke,S9,52.515,13.418055555555554
226,johannisthal,S45,52.446666666666665,13.523888888888887
227,johannisthal,S46,52.446666666666665,13.523888888888887
228,johannisthal,S8,52.446666666666665,13.523888888888887
229,johannisthal,S85,52.446666666666665,13.523888888888887
230,johannisthal,S9,52.446666666666665,13.523888888888887
231,johannisthaler chaussee,U7,52.42944444444444,13.453055555555554
232,julius leber brücke,S1,52.486268888889,13.360211944444
